q6_rad,position_residual_m,pointing_residual,roll_angle_error_rad,roll_axis_misalignment
0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.7453292519943295e-02,3.4906141993495867e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.4906585039886591e-02,6.9809625749133516e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
5.2359877559829890e-02,1.0470779323149240e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.9813170079773182e-02,1.3959798681000364e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
8.7266462599716474e-02,1.7447754946134436e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.0471975511965978e-01,2.0934382497177577e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.2217304763960307e-01,2.4419415813942756e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.3962634015954636e-01,2.7902589497650100e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.5707963267948966e-01,3.1383638291138018e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.7453292519943295e-01,3.4862297099063281e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1.9198621771937624e-01,3.8338301008089622e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.0943951023931956e-01,4.1811385307061397e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.2689280275926285e-01,4.5281285507162714e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.4434609527920614e-01,4.8747737362059007e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.6179938779914941e-01,5.2210476888020609e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.7925268031909273e-01,5.5669240384026101e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2.9670597283903605e-01,5.9123764451844254e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.1415926535897931e-01,6.2573786016092304e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.3161255787892263e-01,6.6019042344271023e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.4906585039886590e-01,6.9459271066772106e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.6651914291880922e-01,7.2894210196858987e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3.8397243543875248e-01,7.6323598150617846e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
4.0142572795869580e-01,7.9747173766878850e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
4.1887902047863912e-01,8.3164676327103729e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
4.3633231299858238e-01,8.6575845575241200e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
4.5378560551852570e-01,8.9980421737545953e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
4.7123889803846897e-01,9.3378145542362193e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
4.8869219055841229e-01,9.6768758239867050e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
5.0614548307835561e-01,1.0015200162177652e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
5.2359877559829882e-01,1.0352761804100823e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
5.4105206811824214e-01,1.0689535043130272e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
5.5850536063818546e-01,1.1025494232679954e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
5.7595865315812877e-01,1.1360613788156894e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
5.9341194567807209e-01,1.1694868188909469e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.1086523819801530e-01,1.2028231980170914e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.2831853071795862e-01,1.2360679774997885e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.4577182323790194e-01,1.2692186256203686e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.6322511575784526e-01,1.3022726178286261e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.8067840827778847e-01,1.3352274369350822e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
6.9813170079773179e-01,1.3680805733026739e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
7.1558499331767511e-01,1.4008295250378690e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
7.3303828583761843e-01,1.4334717981812000e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
7.5049157835756175e-01,1.4660049068971889e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
7.6794487087750496e-01,1.4984263736636477e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
7.8539816339744828e-01,1.5307337294603578e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
8.0285145591739160e-01,1.5629245139570942e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
8.2030474843733492e-01,1.5949962757009842e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
8.3775804095727824e-01,1.6269465723032006e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
8.5521133347722145e-01,1.6587729706249565e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
8.7266462599716477e-01,1.6904730469627965e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
8.9011791851710809e-01,1.7220443872331806e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
9.0757121103705141e-01,1.7534845871563093e-02,0.0000000000000000e+00,4.4408920985006262e-16,0.0000000000000000e+00
9.2502450355699462e-01,1.7847912524392336e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
9.4247779607693793e-01,1.8159619989581856e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
