s,t,p_residual_m,rank_jp,rank_jpd,rank_jd_nred,regular,label
-0.12,-0.12,1.9229626863835638e-16,3,5,2,True,regular
-0.12,-0.09,3.510833468576701e-16,3,5,2,True,regular
-0.12,-0.06,1.9229626863835638e-16,3,5,2,True,regular
-0.12,-0.03,1.9229626863835638e-16,3,5,2,True,regular
-0.12,0.0,1.1102230246251565e-16,3,5,2,True,regular
-0.12,0.03,1.9229626863835638e-16,3,5,2,True,regular
-0.12,0.06,1.5700924586837752e-16,3,5,2,True,regular
-0.12,0.09,1.5700924586837752e-16,3,5,2,True,regular
-0.12,0.12,2.482534153247273e-16,3,5,2,True,regular
-0.09,-0.12,2.482534153247273e-16,3,5,2,True,regular
-0.09,-0.09,2.482534153247273e-16,3,5,2,True,regular
-0.09,-0.06,0.0,3,5,2,True,regular
-0.09,-0.03,1.1102230246251565e-16,3,5,2,True,regular
-0.09,0.0,1.1102230246251565e-16,3,5,2,True,regular
-0.09,0.03,1.5700924586837752e-16,3,5,2,True,regular
-0.09,0.06,1.5700924586837752e-16,3,5,2,True,regular
-0.09,0.09,2.482534153247273e-16,3,5,2,True,regular
-0.09,0.12,2.482534153247273e-16,3,5,2,True,regular
-0.06,-0.12,4.1540741810552243e-16,3,5,2,True,regular
-0.06,-0.09,2.220446049250313e-16,3,5,2,True,regular
-0.06,-0.06,0.0,3,5,2,True,regular
-0.06,-0.03,2.7194799110210365e-16,3,5,2,True,regular
-0.06,0.0,1.5700924586837752e-16,3,5,2,True,regular
-0.06,0.03,3.3306690738754696e-16,3,5,2,True,regular
-0.06,0.06,1.5700924586837752e-16,3,5,2,True,regular
-0.06,0.09,2.482534153247273e-16,3,5,2,True,regular
-0.06,0.12,2.482534153247273e-16,3,5,2,True,regular
-0.03,-0.12,1.5700924586837752e-16,3,5,2,True,regular
-0.03,-0.09,1.5700924586837752e-16,3,5,2,True,regular
-0.03,-0.06,2.482534153247273e-16,3,5,2,True,regular
-0.03,-0.03,2.79326464745136e-15,3,5,2,True,regular
-0.03,0.0,5.067046208059989e-15,3,5,2,True,regular
-0.03,0.03,2.482534153247273e-16,3,5,2,True,regular
-0.03,0.06,0.0,3,5,2,True,regular
-0.03,0.09,1.1102230246251565e-16,3,5,2,True,regular
-0.03,0.12,2.7194799110210365e-16,3,5,2,True,regular
0.0,-0.12,1.1102230246251565e-16,3,5,2,True,regular
0.0,-0.09,1.5700924586837752e-16,3,5,2,True,regular
0.0,-0.06,2.7194799110210365e-16,3,5,2,True,regular
0.0,-0.03,6.9908796491407646e-15,3,5,2,True,regular
0.0,0.0,0.0,3,5,2,True,regular
0.0,0.03,6.592518903804533e-15,3,5,2,True,regular
0.0,0.06,4.1540741810552243e-16,3,5,2,True,regular
0.0,0.09,2.482534153247273e-16,3,5,2,True,regular
0.0,0.12,1.5700924586837752e-16,3,5,2,True,regular
0.03,-0.12,2.220446049250313e-16,3,5,2,True,regular
0.03,-0.09,2.482534153247273e-16,3,5,2,True,regular
0.03,-0.06,2.482534153247273e-16,3,5,2,True,regular
0.03,-0.03,3.3306690738754696e-16,3,5,2,True,regular
0.03,0.0,6.155483356642005e-15,3,5,2,True,regular
0.03,0.03,3.0343839371652523e-15,3,5,2,True,regular
0.03,0.06,1.9229626863835638e-16,3,5,2,True,regular
0.03,0.09,1.1102230246251565e-16,3,5,2,True,regular
0.03,0.12,3.3306690738754696e-16,3,5,2,True,regular
0.06,-0.12,3.3306690738754696e-16,3,5,2,True,regular
0.06,-0.09,1.1102230246251565e-16,3,5,2,True,regular
0.06,-0.06,2.482534153247273e-16,3,5,2,True,regular
0.06,-0.03,2.482534153247273e-16,3,5,2,True,regular
0.06,0.0,2.220446049250313e-16,3,5,2,True,regular
0.06,0.03,1.1102230246251565e-16,3,5,2,True,regular
0.06,0.06,2.482534153247273e-16,3,5,2,True,regular
0.06,0.09,2.482534153247273e-16,3,5,2,True,regular
0.06,0.12,1.5700924586837752e-16,3,5,2,True,regular
0.09,-0.12,1.1102230246251565e-16,3,5,2,True,regular
0.09,-0.09,1.1102230246251565e-16,3,5,2,True,regular
0.09,-0.06,2.7194799110210365e-16,3,5,2,True,regular
0.09,-0.03,3.3306690738754696e-16,3,5,2,True,regular
0.09,0.0,2.482534153247273e-16,3,5,2,True,regular
0.09,0.03,1.5700924586837752e-16,3,5,2,True,regular
0.09,0.06,4.1540741810552243e-16,3,5,2,True,regular
0.09,0.09,1.5700924586837752e-16,3,5,2,True,regular
0.09,0.12,1.9229626863835638e-16,3,5,2,True,regular
0.12,-0.12,1.1102230246251565e-16,3,5,2,True,regular
0.12,-0.09,1.5700924586837752e-16,3,5,2,True,regular
0.12,-0.06,1.1102230246251565e-16,3,5,2,True,regular
0.12,-0.03,3.6821932062951477e-16,3,5,2,True,regular
0.12,0.0,3.1401849173675503e-16,3,5,2,True,regular
0.12,0.03,1.5700924586837752e-16,3,5,2,True,regular
0.12,0.06,2.482534153247273e-16,3,5,2,True,regular
0.12,0.09,3.3306690738754696e-16,3,5,2,True,regular
0.12,0.12,1.5700924586837752e-16,3,5,2,True,regular
