architecture,experiment_id,s,t,path_id,step_index,q1,q2,q3,q4,q5,q6,d_x,d_y,d_z,position_residual_m,corrector_iterations,correction_norm,step_reductions,rank_jp,rank_jpd,rank_jd_nred,chart_sigma_1,chart_sigma_2,chart_condition,pointing_sigma_1,pointing_sigma_2,pointing_condition,tangent_principal_angle_1,tangent_principal_angle_2,dist_ua_m,dist_ub_m,regular,label
URLikeAligned6R,ATR_EXP_023,-0.12,-0.12,row_s=-0.120000_-t,4,0.3731500394341014,-0.4692362000409889,0.6399572019482019,0.40679618306872967,-0.2897241176563641,0.7,0.01530510899796914,-0.40120885163349795,0.9158587287401317,6.938893903907228e-17,18,1.2971159327120069e-05,0,3,5,2,,,,,,,6.04956387196674e-05,0.0051894907515943394,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.12,-0.09,row_s=-0.120000_-t,3,0.3725427355379369,-0.4570861074188755,0.614365500868684,0.40453486609026107,-0.29930889324904614,0.7,-0.006202424967051923,-0.40621426389917453,0.9137568066665112,6.938893903907228e-17,18,1.3146027808099139e-05,0,3,5,2,,,,,,,5.817428598461598e-05,0.005259499850423223,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.12,-0.06,row_s=-0.120000_-t,2,0.3719332190855859,-0.44489231790134554,0.5884869528801437,0.40216770975207355,-0.30800056280684424,0.7,-0.027059406843611883,-0.4109249245028987,0.9112675210516169,5.551115123125783e-17,18,1.331645145255972e-05,0,3,5,2,,,,,,,5.5646344995058714e-05,0.005327719689110927,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.12,-0.03,row_s=-0.120000_-t,1,0.37132395966413917,-0.4326580416666476,0.5623476082298684,0.39969694132028216,-0.3157778827509807,0.7,-0.047218764072108524,-0.41533773604650126,0.9084409465316221,6.938893903907228e-17,18,1.3479379036225427e-05,0,3,5,2,,,,,,,5.315280960390151e-05,0.005392937131147731,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.12,0.0,-s,4,0.37071723692501146,-0.4203869122865639,0.5359749934487269,0.3971251212367845,-0.32262079124738485,0.7,-0.0666359946401069,-0.4194498570737459,0.9053294768310253,1.576213700060856e-16,18,3.1523439185539724e-06,0,3,5,2,,,,,,,8.528662396188968e-05,0.00127033348577661,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.12,0.03,row_s=-0.120000_+t,1,0.3701151201469848,-0.4080830411986839,0.5093980661346259,0.3944551551383763,-0.3285107440887821,0.7,-0.08526958208953825,-0.4232586981505904,0.9019873462583292,1.2719202621569003e-16,18,1.3739652162950727e-05,0,3,5,2,,,,,,,4.969570545999634e-05,0.005500085507279095,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.12,0.06,row_s=-0.120000_+t,2,0.3695194487355588,-0.3957510615032702,0.4826471296813313,0.39169030162497936,-0.3334310751240646,0.7,-0.10308141021677027,-0.42676191994944984,0.8984700810537775,5.721958498152797e-17,18,1.3862834446702335e-05,0,3,5,2,,,,,,,4.905147891628188e-05,0.005548994052772528,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.12,0.09,row_s=-0.120000_+t,3,0.36893181408657777,-0.38339615554826423,0.4557536975613598,0.38883417355151184,-0.33736737156135704,0.7,-0.1200371697315527,-0.4299574338857344,0.8948338856621562,2.7755575615628914e-17,18,1.3964251640911266e-05,0,3,5,2,,,,,,,4.968418316867693e-05,0.005589130364528983,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.12,0.12,row_s=-0.120000_+t,4,0.36835354365369566,-0.37102406532668963,0.42875030771223005,0.3858907321792104,-0.3403078491818748,0.7,-0.13610674001046272,-0.4328434048018117,0.891134974200485,1.3877787807814457e-17,18,1.4039919579195483e-05,0,3,5,2,,,,,,,5.176000868626013e-05,0.005618907821307962,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.09,-0.12,row_s=-0.090000_-t,4,0.3680181845169504,-0.4689635539483319,0.6436339392453224,0.3776059534902767,-0.29194802665751873,0.7,0.006917625434331913,-0.3757665501121219,0.9266885378999701,5.721958498152797e-17,18,1.2977691723302045e-05,0,3,5,2,,,,,,,6.478139428679057e-05,0.005191071240033031,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.09,-0.09,row_s=-0.090000_-t,3,0.3674157440349625,-0.4568177687853404,0.6180332885343043,0.375317672521993,-0.3015082337595549,0.7,-0.014724436975052269,-0.38073171001953915,0.9245683078828547,5.721958498152797e-17,18,1.3149318568370469e-05,0,3,5,2,0.9998253320398939,0.9990263982567714,1.000799712384494,0.9663626506446182,0.7303171677011817,1.3232095497445808,6.225187972562275e-05,0.005259755233348463,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.09,-0.06,row_s=-0.090000_-t,2,0.36681134520375547,-0.4446289059910083,0.5921455880273951,0.37293022324449154,-0.31017432595255817,0.7,-0.035715418705443154,-0.3854073256954786,0.9220550971427652,7.97218214573518e-17,18,1.3316553622156115e-05,0,3,5,2,0.9998208850362252,0.9995648753230357,1.0002561211578256,0.9683201797971172,0.7078853471362418,1.3679053871004214,5.9458671213547585e-05,0.005326681212426368,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.09,-0.03,row_s=-0.090000_-t,1,0.36620727641062334,-0.4324001617943282,0.5659970113640939,0.3704457496570941,-0.3179253074800618,0.7,-0.05600828004056878,-0.38978953418799145,0.9191992121430512,1.3877787807814457e-17,18,1.3476383364024061e-05,0,3,5,2,0.9998843278975935,0.9998162847891903,1.0000680556112542,0.9701176669752815,0.6840223205173674,1.4182544017591747,5.66316097397847e-05,0.005390651149786007,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.09,0.0,-s,3,0.3656056434438451,-0.42013515093286447,0.539615187402803,0.36786670297259655,-0.3247413681571513,0.7,-0.07555855675269137,-0.3938747431730242,0.9160532687523333,1.249000902703301e-16,18,3.2159665254294726e-06,0,3,5,2,0.9999896145853886,0.9998123158156478,1.0001773320521623,0.9717784905024107,0.6587462322640112,1.4751940017365337,6.622508906376448e-05,0.00129222368740423,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.09,0.03,row_s=-0.090000_+t,1,0.36500835102991547,-0.4078379613988138,0.5130291540457923,0.36519585206844896,-0.3306042152775608,0.7,-0.09432476959439803,-0.39765963623086076,0.9126717107228115,2.7755575615628914e-17,18,1.3731488472139817e-05,0,3,5,2,0.9998875434862378,0.9998085396798552,1.0000790189353732,0.9733258091097318,0.6320896262929429,1.5398541102755616,5.235571705650132e-05,0.005495681228801954,not_applicable,not_applicable,True,regular
URLikeAligned6R,ATR_EXP_023,-0.09,0.06,row_s=-0.090000_+t,2,0.36441708534626466,-0.39551319860120976,0.48626927253293745,0.36243629002969563,-0.335497429931004,0.7,-0.11226883305506045,-0.40114118044779074,0.9091102586999049,1.2719202621569003e-16,18,1.3852016040305125e-05,0,3,5,2,0.9998053178348588,0.9995848862740528,1.0002205231029728,0.9747820405932944,0.6041012281392559,1.6136071161381418,5.115820167989884e-05,0.005543551008716117,not_applicable,not_applicable,True,regular
