key,value
n_accepted,9
n_failed,0
n_regular,9
reverse,"{""architecture"": ""URLikeAligned6R"", ""n"": [0.0, 1.0, 0.0], ""n_steps"": 4, ""step_size"": 0.03, ""epsilon_q"": 2.7410401964430025e-09, ""epsilon_p"": 1.3877787807814457e-17, ""epsilon_d"": 1.8875430808910273e-09, ""epsilon_h"": 1.1102230246251565e-16, ""forward_accepted"": 4, ""reverse_accepted"": 4, ""started_from_endpoint"": true, ""passed"": true}"
pointing_image,"{""n_samples"": 9, ""max_pointing_delta"": 0.16412379235948074, ""min_tangent_norm"": 0.6062284503414183, ""n_interior"": 7, ""n_rank_one"": 7, ""collapsed"": false, ""local_rank_one"": true, ""passed"": true}"
n,"[0.0, 1.0, 0.0]"
c,-0.31535450105379514
step_size,0.03
n_steps,4
suur_required,false
pair_fields,"""not_applicable"""
